Station_ID,name
24454,Freilichtmuseum Molfsee
24477,Provinzial Sophienblatt
24464,Brandenburger Platz
24382,Wilhelmplatz
24444,Kührener Straße
24389,Hansastr./Gutenbergstr.
24408,thyssenkrupp Marine Systems
26355,Cruise Center Kiel / Fahrrad Messe Popup
24398,Rathausplatz
24415,KVG Betriebshof Diedrichstraße
24434,Parkplatz Südstrand
26262,Gemeindebücherei 
24375,Hörnbad
24407,Rathaus Altenholz
24420,Kreishaus Rendsburg
24356,Hagen Bikes factory
24401,Dataport/FHVD
24387,Mönkeberg Anleger
24391,Blücherplatz
24385,Dreiecksplatz
24435,Wulfsteert
24424,Grüner Kranz
24466,Sandkrug
24392,Andreas-Gayk-Straße
24480,KielRegion GmbH
24413,Bernhard-Minetti-Platz
24400,Anleger Friedrichsort
24371,Anleger Reventlou
24378,Muthesius Kunsthochschule
24412,MELUND-Olympiahochhaus
24468,Catharinenberg
24383,CAU Sportstätten
24476,Kurt-Schumacher-Platz
24436,Förde Sparkasse Lorentzendamm
24376,Kirchhofallee
24397,Hauptbahnhof
24427,Bahnhof Eckernförde
24384,CAU Universitätsbibliothek
26224,Kanalfähre Wik
24370,Alter Markt
24380,Vinetaplatz
24381,Westring/Eckernförder Str.
26209,Kanalfähre Holtenau
24394,KiTa Fußsteigkoppel
24453,Kronshagen Bahnhof
24447,Bahnhalt Ellerbek
24395,Wellingdorf Stadtteilzentrum
24455,Paradeplatz
24406,Bahnhof Oppendorf
24474,Russeer Weg / Hofholzallee
24458,Bahnhof Plön
24367,Anleger Dietrichsdorf
24472,Ascheberger Parkplatz
24473,Aalborgring
24399,Exerzierplatz
24456,Lilienstraße / Krankenhaus 
24386,Fähranleger Möltenort
24388,Schönkirchen Gemeindehaus
24405,Marine-Ehrenmal
24410,Bunsenstraße
24404,Bullbrücke
24425,Schiffbrückenplatz
24414,Kuhlacker
24422,Fähre Nobiskrug
24432,Kurpark
24431,Hafen Eckernförde
24439,Förde Sparkasse Fockbek
24442,Rathaus Heikendorf
24440,Förde Sparkasse Teplitzer Allee
24446,Wakendorf
24445,Schwimmhalle Preetz
24448,Bahnhof Russee
24449,Bebelplatz
24478,Kreisverwaltung Plön
24475,Stadthalle Eckernförde
24479,Klinik Preetz
24469,Seefischmarkt
24368,Umsteiger
24393,Tilsiter Platz
24437,Markt Plön
24470,Fegetasche
24443,Kieler Straße Preetz
24409,Braunstraße
24429,Carlshöhe
24418,Stolbergring
24452,ZOB Rendsburg
24459,Wentorper Platz
24461,Prinzenstraße
24373,Christian-Albrechts-Platz
24390,CITTI-PARK
24421,Bahnhof Rendsburg
24426,WFG Rendsburg
24423,Fußgängertunnel Nordseite
24462,Förde Sparkasse Sehestedter Straße
24411,Grot Steenbusch
24441,Meimersdorf Kontor
24438,Förde Sparkasse Preetz
24463,Haimkrogkoppel
24428,Busparkplatz Sauerstraße / Schulzentrum Süd
24417,Sophienhof
24377,Kronshagen Rathaus
24451,Bahnhof Preetz
24419,ADAC-Station
24403,Hafen Laboe
24369,Alte Mu/Brunswiker Str.
24433,Langebrückstraße / Commerzbank 
24374,Holsten-/Hafenstraße
24481,Kieler Innovations- und Technologiezentrum
24450,Schulen am Langsee
24460,Bystedtredder
24379,RBZ Wirtschaft
24482,Markt Preetz
24471,Krausstraße
24372,Bahnhof Suchsdorf
24430,Fischerkoppel
24465,UKSH
24467,Zur Fähre
24396,Rathaus Waisenhofstraße
24457,Studiale
24416,Rungholtplatz
24402,Stadtteilzentrum Pries
